Symbol CG RPKM staining morphology VDRC_1 staining_1 morphology_1 VDRC_2 staining_2 morphology_2 status tag1 tag2 tag3
Karybeta3 CG1059 151.452 1 0 GD39713 N 0 GD39711 Y 0 "weak staining" 0 0 1
Lrr47 CG6098 11.63218 1 1 GD27567 Y 0 GD27566 N 0 "weak staining" 0 0 1
mRpL10 CG11488 57.2454 1 0 GD31508 N 0 GD32500 Y 0 "weak staining" 0 0 1
mRpL17 CG13880 68.5824 1 1 GD24809 Y 0 GD24810 N 1 "weak staining" 0 0 1
mRpL2 CG7636 77.4414 1 1 KK101315 N 0 GD13828 Y 1 "weak staining" 0 0 1
mRpL20 CG11258 60.73515 1 1 GD23377 N 0 GD23376 Y 1 "weak staining" 0 0 1
mRpL24 CG8849 91.14285000000001 1 1 GD36050 N 1 GD36052 Y 1 "weak staining" 0 0 1
mRpL35 CG13410 34.0629 1 1 KK103388 N 1 GD13443 Y 0 "weak staining" 0 0 1
mRpL38 CG15871 62.618849999999995 1 2 GD43692 Y 1 GD43691 N 1 "weak staining" 0 0 1
mRpL39 CG17166 116.90965 1 1 GD20388 Y 1 KK107059 N 0 "weak staining" 0 0 1
mRpL43 CG5479 27.4967 1 1 KK104466 N 0 GD22138 Y 0 "weak staining" 0 0 1
mRpL45 CG6949 78.39054999999999 1 1 GD40405 N 0 GD40408 Y 1 "weak staining" 0 0 1
mRpL54 CG9353 42.9471 1 1 GD35447 Y 1 KK105729 N 0 "weak staining" 0 0 1
mRpS10 CG4247 71.93865 1 1 GD25967 N 0 GD25968 Y 0 "weak staining" 0 0 1
mRpS18A CG31450 82.1961 1 1 GD26319 Y 0 GD26320 N 0 "weak staining" 0 0 1
mRpS22 CG12261 98.102 1 1 GD17062 Y 0 GD17060 N 1 "weak staining" 0 0 1
mRpS23 CG31842 53.57055 1 1 GD21429 Y 0 KK103658 N 0 "weak staining" 0 0 1
mRpS25 CG14413 108.8442 1 1 GD22740 N 0 GD22738 Y 0 "weak staining" 0 0 1
mRpS34 CG42648 64.51865 1 1 GD32139 Y 0 GD32138 N 1 "weak staining" 0 0 1
mRpS6 CG15016 50.242149999999995 1 1 GD38842 N 0 GD38843 Y 0 "weak staining" 0 0 1
mRpS7 CG5108 154.175 1 1 GD34934 Y 1 KK107106 N 0 "weak staining" 0 0 1
mTerf3 CG5047 16.0874 1 0 GD26692 Y 0 GD26693 N 0 "weak staining" 0 0 1
ND23 CG3944 167.3938 1 1 GD21749 Y 0 GD21748 N 0 "weak staining" 0 0 1
ND42 CG6343 127.77680000000001 1 1 GD14444 Y 0 KK110787 N 0 "weak staining" 0 0 1
rap CG3000 5.068015 1 0 GD25550 Y 0 GD25553 N 0 "weak staining" 0 0 1
Scox CG8885 78.20644999999999 1 1 GD7860 N 1 GD7861 Y 0 "weak staining" 0 0 1
Stat92E CG4257 108.737 1 1 GD43867 N 0 GD43866 Y 1 "weak staining" 0 0 1
Su(P) CG4086 63.02145 1 1 GD14268 N 0 GD14269 Y 0 "weak staining" 0 0 1
Tim9a CG1660 53.4456 1 1 GD28801 Y 0 KK104476 N 0 "weak staining" 0 0 1
trpm CG34123 7.3721 1 0 GD30609 Y 0 GD33669 N 0 "weak staining" 0 0 1
Vps36 CG10711 34.713950000000004 1 0 GD16846 Y 0 GD16847 N 0 "weak staining" 0 0 1
mRpL37 CG42632 66.6545 1 1 GD46065 Y 1 GD46066 N 1 "weak staining" 0 0 1
